Thread ID, Time, Message Type,n,r,k,case
Thread ID: 2, Time: 11:29:39:971 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 3, Time: 11:29:40:984 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 5, Time: 11:29:41:998 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 8, Time: 11:29:43:007 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 11:29:44:016 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 7, Time: 11:29:45:025 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 6, Time: 11:29:46:033 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 4, Time: 11:29:47:046 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 11:29:48:056 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 3, Time: 11:29:49:065 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 5, Time: 11:29:50:077 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 8, Time: 11:29:51:086 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 11:29:52:100 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 7, Time: 11:29:53:112 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 6, Time: 11:29:54:123 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 4, Time: 11:29:55:134 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 11:29:56:145 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 3, Time: 11:29:57:162 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 5, Time: 11:29:58:171 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 8, Time: 11:29:59:179 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 11:30:00:188 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 7, Time: 11:30:01:196 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 6, Time: 11:30:02:207 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 4, Time: 11:30:03:216 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 11:30:04:225 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 3, Time: 11:30:05:233 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 5, Time: 11:30:06:243 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 8, Time: 11:30:07:250 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 11:30:08:262 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 7, Time: 11:30:09:275 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 6, Time: 11:30:10:288 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 4, Time: 11:30:11:298 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 2, Time: 11:30:12:307 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 3, Time: 11:30:13:314 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 5, Time: 11:30:14:325 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 8, Time: 11:30:15:335 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 1, Time: 11:30:16:343 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 7, Time: 11:30:17:353 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 6, Time: 11:30:18:364 19/07/2023, sent GRANT message,8,5,1,2
Thread ID: 4, Time: 11:30:19:376 19/07/2023, sent GRANT message,8,5,1,2
