Thread ID, Time, Message Type,n,r,k,case
Thread ID: 1, Time: 11:13:03:503 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 9, Time: 11:13:05:513 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 16, Time: 11:13:07:524 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 3, Time: 11:13:09:535 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 2, Time: 11:13:11:546 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 6, Time: 11:13:13:555 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 13, Time: 11:13:15:567 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 12, Time: 11:13:17:578 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 5, Time: 11:13:19:591 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 4, Time: 11:13:21:602 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 15, Time: 11:13:23:611 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 11, Time: 11:13:25:624 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 14, Time: 11:13:27:635 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 7, Time: 11:13:29:646 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 8, Time: 11:13:31:658 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 10, Time: 11:13:33:669 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 1, Time: 11:13:35:681 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 9, Time: 11:13:37:692 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 16, Time: 11:13:39:701 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 3, Time: 11:13:41:713 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 2, Time: 11:13:43:724 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 6, Time: 11:13:45:734 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 13, Time: 11:13:47:744 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 12, Time: 11:13:49:757 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 5, Time: 11:13:51:770 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 4, Time: 11:13:53:789 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 15, Time: 11:13:55:799 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 11, Time: 11:13:57:809 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 14, Time: 11:13:59:820 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 7, Time: 11:14:01:832 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 8, Time: 11:14:03:842 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 10, Time: 11:14:05:855 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 1, Time: 11:14:07:865 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 9, Time: 11:14:09:875 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 16, Time: 11:14:11:886 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 3, Time: 11:14:13:894 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 2, Time: 11:14:15:907 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 6, Time: 11:14:17:915 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 13, Time: 11:14:19:927 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 12, Time: 11:14:21:939 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 5, Time: 11:14:23:950 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 4, Time: 11:14:25:958 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 15, Time: 11:14:27:969 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 11, Time: 11:14:29:979 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 14, Time: 11:14:31:990 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 7, Time: 11:14:33:999 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 8, Time: 11:14:36:011 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 10, Time: 11:14:38:024 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 1, Time: 11:14:40:034 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 9, Time: 11:14:42:045 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 16, Time: 11:14:44:057 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 3, Time: 11:14:46:069 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 2, Time: 11:14:48:082 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 6, Time: 11:14:50:092 19/07/2023, sent GRANT message,16,10,2,1
Thread ID: 13, Time: 11:14:52:103 19/07/2023, sent GRANT message,16,10,2,1
