Thread ID, Time, Message Type,n,r,k,case
Thread ID: 7, Time: 11:10:22:379 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 6, Time: 11:10:24:388 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 8, Time: 11:10:26:404 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 5, Time: 11:10:28:420 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 4, Time: 11:10:30:432 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 3, Time: 11:10:32:443 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 1, Time: 11:10:34:452 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 2, Time: 11:10:36:466 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 7, Time: 11:10:38:475 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 6, Time: 11:10:40:485 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 8, Time: 11:10:42:497 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 5, Time: 11:10:44:503 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 4, Time: 11:10:46:516 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 3, Time: 11:10:48:528 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 1, Time: 11:10:50:538 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 2, Time: 11:10:52:549 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 7, Time: 11:10:54:560 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 6, Time: 11:10:56:572 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 8, Time: 11:10:58:581 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 5, Time: 11:11:00:592 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 4, Time: 11:11:02:602 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 3, Time: 11:11:04:616 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 1, Time: 11:11:06:634 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 2, Time: 11:11:08:646 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 7, Time: 11:11:10:656 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 6, Time: 11:11:12:665 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 8, Time: 11:11:14:675 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 5, Time: 11:11:16:692 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 4, Time: 11:11:18:710 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 3, Time: 11:11:20:723 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 1, Time: 11:11:22:734 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 2, Time: 11:11:24:745 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 7, Time: 11:11:26:755 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 6, Time: 11:11:28:765 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 8, Time: 11:11:30:774 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 5, Time: 11:11:32:783 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 4, Time: 11:11:34:793 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 3, Time: 11:11:36:805 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 1, Time: 11:11:38:813 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 2, Time: 11:11:40:822 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 7, Time: 11:11:42:830 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 6, Time: 11:11:44:838 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 8, Time: 11:11:46:847 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 5, Time: 11:11:48:857 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 4, Time: 11:11:50:867 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 3, Time: 11:11:52:878 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 1, Time: 11:11:54:889 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 2, Time: 11:11:56:899 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 7, Time: 11:11:58:907 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 6, Time: 11:12:00:917 19/07/2023, sent GRANT message,8,10,2,1
Thread ID: 8, Time: 11:12:02:927 19/07/2023, sent GRANT message,8,10,2,1
