Thread ID, Time, Message Type,n,r,k,case
Thread ID: 58, Time: 11:34:24:256 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 17, Time: 11:34:25:313 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 26, Time: 11:34:26:323 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 22, Time: 11:34:27:333 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 33, Time: 11:34:28:343 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 52, Time: 11:34:29:352 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 1, Time: 11:34:30:363 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 13, Time: 11:34:31:372 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 14, Time: 11:34:32:382 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 19, Time: 11:34:33:393 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 11, Time: 11:34:34:401 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 15, Time: 11:34:35:412 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 7, Time: 11:34:36:424 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 34, Time: 11:34:37:435 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 8, Time: 11:34:38:443 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 5, Time: 11:34:39:451 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 16, Time: 11:34:40:460 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 3, Time: 11:34:41:469 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 41, Time: 11:34:42:480 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 23, Time: 11:34:43:489 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 6, Time: 11:34:44:498 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 20, Time: 11:34:45:506 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 12, Time: 11:34:46:514 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 21, Time: 11:34:47:522 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 63, Time: 11:34:48:532 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 2, Time: 11:34:49:543 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 30, Time: 11:34:50:552 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 56, Time: 11:34:51:562 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 35, Time: 11:34:52:570 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 60, Time: 11:34:53:580 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 24, Time: 11:34:54:588 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 9, Time: 11:34:55:599 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 25, Time: 11:34:56:610 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 4, Time: 11:34:57:619 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 62, Time: 11:34:58:631 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 49, Time: 11:34:59:640 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 10, Time: 11:35:00:649 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 29, Time: 11:35:01:660 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 40, Time: 11:35:02:669 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 18, Time: 11:35:03:679 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 53, Time: 11:35:04:697 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 31, Time: 11:35:05:719 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 43, Time: 11:35:06:729 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 32, Time: 11:35:07:739 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 37, Time: 11:35:08:750 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 64, Time: 11:35:09:761 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 27, Time: 11:35:10:770 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 55, Time: 11:35:11:779 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 51, Time: 11:35:12:801 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 48, Time: 11:35:13:813 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 28, Time: 11:35:14:821 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 45, Time: 11:35:15:832 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 39, Time: 11:35:16:845 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 47, Time: 11:35:17:853 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 42, Time: 11:35:18:862 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 50, Time: 11:35:19:871 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 57, Time: 11:35:20:880 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 59, Time: 11:35:21:888 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 38, Time: 11:35:22:897 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 46, Time: 11:35:23:909 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 36, Time: 11:35:24:918 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 54, Time: 11:35:25:929 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 61, Time: 11:35:26:939 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 44, Time: 11:35:27:950 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 58, Time: 11:35:28:962 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 17, Time: 11:35:29:972 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 26, Time: 11:35:30:982 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 22, Time: 11:35:31:992 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 33, Time: 11:35:33:001 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 52, Time: 11:35:34:014 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 1, Time: 11:35:35:025 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 13, Time: 11:35:36:035 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 14, Time: 11:35:37:046 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 19, Time: 11:35:38:055 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 11, Time: 11:35:39:064 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 15, Time: 11:35:40:072 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 7, Time: 11:35:41:082 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 34, Time: 11:35:42:095 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 8, Time: 11:35:43:104 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 5, Time: 11:35:44:113 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 16, Time: 11:35:45:122 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 3, Time: 11:35:46:135 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 41, Time: 11:35:47:145 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 23, Time: 11:35:48:155 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 6, Time: 11:35:49:165 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 20, Time: 11:35:50:177 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 12, Time: 11:35:51:184 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 21, Time: 11:35:52:195 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 63, Time: 11:35:53:204 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 2, Time: 11:35:54:212 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 30, Time: 11:35:55:220 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 56, Time: 11:35:56:228 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 35, Time: 11:35:57:236 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 60, Time: 11:35:58:247 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 24, Time: 11:35:59:256 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 9, Time: 11:36:00:264 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 25, Time: 11:36:01:273 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 4, Time: 11:36:02:281 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 62, Time: 11:36:03:291 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 49, Time: 11:36:04:299 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 10, Time: 11:36:05:309 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 29, Time: 11:36:06:318 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 40, Time: 11:36:07:328 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 18, Time: 11:36:08:336 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 53, Time: 11:36:09:347 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 31, Time: 11:36:10:354 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 43, Time: 11:36:11:363 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 32, Time: 11:36:12:370 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 37, Time: 11:36:13:381 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 64, Time: 11:36:14:390 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 27, Time: 11:36:15:398 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 55, Time: 11:36:16:406 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 51, Time: 11:36:17:412 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 48, Time: 11:36:18:421 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 28, Time: 11:36:19:432 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 45, Time: 11:36:20:439 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 39, Time: 11:36:21:447 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 47, Time: 11:36:22:455 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 42, Time: 11:36:23:463 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 50, Time: 11:36:24:471 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 57, Time: 11:36:25:486 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 59, Time: 11:36:26:493 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 38, Time: 11:36:27:500 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 46, Time: 11:36:28:508 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 36, Time: 11:36:29:518 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 54, Time: 11:36:30:526 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 61, Time: 11:36:31:533 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 44, Time: 11:36:32:545 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 58, Time: 11:36:33:559 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 17, Time: 11:36:34:568 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 26, Time: 11:36:35:578 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 22, Time: 11:36:36:587 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 33, Time: 11:36:37:596 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 52, Time: 11:36:38:607 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 1, Time: 11:36:39:617 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 13, Time: 11:36:40:627 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 14, Time: 11:36:41:635 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 19, Time: 11:36:42:652 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 11, Time: 11:36:43:662 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 15, Time: 11:36:44:669 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 7, Time: 11:36:45:677 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 34, Time: 11:36:46:689 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 8, Time: 11:36:47:698 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 5, Time: 11:36:48:706 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 16, Time: 11:36:49:714 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 3, Time: 11:36:50:721 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 41, Time: 11:36:51:728 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 23, Time: 11:36:52:736 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 6, Time: 11:36:53:742 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 20, Time: 11:36:54:750 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 12, Time: 11:36:55:758 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 21, Time: 11:36:56:766 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 63, Time: 11:36:57:775 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 2, Time: 11:36:58:785 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 30, Time: 11:36:59:795 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 56, Time: 11:37:00:804 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 35, Time: 11:37:01:814 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 60, Time: 11:37:02:825 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 24, Time: 11:37:03:834 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 9, Time: 11:37:04:842 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 25, Time: 11:37:05:850 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 4, Time: 11:37:06:863 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 62, Time: 11:37:07:876 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 49, Time: 11:37:08:890 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 10, Time: 11:37:09:898 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 29, Time: 11:37:10:908 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 40, Time: 11:37:11:916 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 18, Time: 11:37:12:926 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 53, Time: 11:37:13:934 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 31, Time: 11:37:14:943 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 43, Time: 11:37:15:952 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 32, Time: 11:37:16:961 19/07/2023, sent GRANT message,64,5,1,2
Thread ID: 37, Time: 11:37:17:968 19/07/2023, sent GRANT message,64,5,1,2
