Thread ID, Time, Message Type,n,r,k,case
Thread ID: 2, Time: 11:08:21:369 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 1, Time: 11:08:23:380 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 2, Time: 11:08:25:388 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 1, Time: 11:08:27:398 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 2, Time: 11:08:29:408 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 1, Time: 11:08:31:417 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 2, Time: 11:08:33:425 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 1, Time: 11:08:35:438 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 2, Time: 11:08:37:448 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 1, Time: 11:08:39:457 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 2, Time: 11:08:41:467 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 1, Time: 11:08:43:474 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 2, Time: 11:08:45:486 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 1, Time: 11:08:47:494 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 2, Time: 11:08:49:505 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 1, Time: 11:08:51:518 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 2, Time: 11:08:53:531 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 1, Time: 11:08:55:541 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 2, Time: 11:08:57:552 19/07/2023, sent GRANT message,2,10,2,1
Thread ID: 1, Time: 11:08:59:561 19/07/2023, sent GRANT message,2,10,2,1
