Thread ID, Time, Message Type,n,r,k,case
Thread ID: 41, Time: 11:39:52:198 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 17, Time: 11:39:52:354 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 12, Time: 11:39:52:373 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 1, Time: 11:39:52:390 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 10, Time: 11:39:52:401 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 26, Time: 11:39:52:416 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 27, Time: 11:39:52:427 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 23, Time: 11:39:52:440 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 20, Time: 11:39:52:454 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 50, Time: 11:39:52:467 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 11, Time: 11:39:52:477 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 5, Time: 11:39:52:489 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 39, Time: 11:39:52:503 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 3, Time: 11:39:52:513 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 30, Time: 11:39:52:526 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 6, Time: 11:39:52:541 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 38, Time: 11:39:52:554 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 14, Time: 11:39:52:569 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 28, Time: 11:39:52:584 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 35, Time: 11:39:52:676 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 31, Time: 11:39:52:707 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 34, Time: 11:39:52:723 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 8, Time: 11:39:52:746 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 19, Time: 11:39:52:760 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 15, Time: 11:39:52:771 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 32, Time: 11:39:52:784 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 18, Time: 11:39:52:792 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 63, Time: 11:39:52:804 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 45, Time: 11:39:52:814 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 43, Time: 11:39:52:824 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 25, Time: 11:39:52:836 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 4, Time: 11:39:52:843 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 2, Time: 11:39:52:856 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 56, Time: 11:39:52:868 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 21, Time: 11:39:52:876 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 13, Time: 11:39:52:890 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 49, Time: 11:39:52:902 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 54, Time: 11:39:52:912 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 7, Time: 11:39:52:924 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 24, Time: 11:39:52:937 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 16, Time: 11:39:52:951 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 46, Time: 11:39:52:959 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 36, Time: 11:39:52:972 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 42, Time: 11:39:52:985 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 33, Time: 11:39:52:997 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 9, Time: 11:39:53:009 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 37, Time: 11:39:53:021 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 60, Time: 11:39:53:035 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 22, Time: 11:39:53:044 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 51, Time: 11:39:53:057 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 48, Time: 11:39:53:072 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 58, Time: 11:39:53:087 19/07/2023, sent GRANT message,64,3,0,3
Thread ID: 59, Time: 11:39:53:098 19/07/2023, sent GRANT message,64,3,0,3
