Thread ID, Time, Message Type,n,r,k,case
Thread ID: 3, Time: 11:30:20:633 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 4, Time: 11:30:21:647 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 12, Time: 11:30:22:657 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 16, Time: 11:30:23:666 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 9, Time: 11:30:24:678 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 10, Time: 11:30:25:690 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 14, Time: 11:30:26:698 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 5, Time: 11:30:27:708 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 8, Time: 11:30:28:716 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 13, Time: 11:30:29:729 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 1, Time: 11:30:30:741 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 7, Time: 11:30:31:756 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 2, Time: 11:30:32:766 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 11, Time: 11:30:33:778 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 6, Time: 11:30:34:787 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 15, Time: 11:30:35:797 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 3, Time: 11:30:36:807 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 4, Time: 11:30:37:820 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 12, Time: 11:30:38:829 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 16, Time: 11:30:39:838 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 9, Time: 11:30:40:847 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 10, Time: 11:30:41:858 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 14, Time: 11:30:42:870 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 5, Time: 11:30:43:880 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 8, Time: 11:30:44:891 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 13, Time: 11:30:45:899 19/07/2023, sent GRANT message,16,5,1,2
Thread ID: 1, Time: 11:30:46:909 19/07/2023, sent GRANT message,16,5,1,2
