Thread ID, Time, Message Type,n,r,k,case
Thread ID: 23, Time: 11:18:25:929 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 6, Time: 11:18:27:940 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 1, Time: 11:18:29:948 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 25, Time: 11:18:31:960 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 14, Time: 11:18:33:973 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 13, Time: 11:18:35:983 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 8, Time: 11:18:37:992 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 19, Time: 11:18:40:001 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 18, Time: 11:18:42:017 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 28, Time: 11:18:44:030 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 27, Time: 11:18:46:042 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 30, Time: 11:18:48:059 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 12, Time: 11:18:50:073 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 3, Time: 11:18:52:085 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 2, Time: 11:18:54:098 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 5, Time: 11:18:56:110 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 29, Time: 11:18:58:120 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 24, Time: 11:19:00:132 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 21, Time: 11:19:02:143 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 7, Time: 11:19:04:153 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 20, Time: 11:19:06:161 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 10, Time: 11:19:08:170 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 11, Time: 11:19:10:178 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 9, Time: 11:19:12:188 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 15, Time: 11:19:14:196 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 31, Time: 11:19:16:205 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 16, Time: 11:19:18:212 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 32, Time: 11:19:20:223 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 26, Time: 11:19:22:231 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 4, Time: 11:19:24:239 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 17, Time: 11:19:26:249 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 22, Time: 11:19:28:259 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 23, Time: 11:19:30:269 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 6, Time: 11:19:32:278 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 1, Time: 11:19:34:287 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 25, Time: 11:19:36:296 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 14, Time: 11:19:38:305 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 13, Time: 11:19:40:314 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 8, Time: 11:19:42:323 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 19, Time: 11:19:44:331 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 18, Time: 11:19:46:340 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 28, Time: 11:19:48:349 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 27, Time: 11:19:50:360 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 30, Time: 11:19:52:370 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 12, Time: 11:19:54:380 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 3, Time: 11:19:56:394 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 2, Time: 11:19:58:410 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 5, Time: 11:20:00:422 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 29, Time: 11:20:02:430 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 24, Time: 11:20:04:443 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 21, Time: 11:20:06:454 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 7, Time: 11:20:08:463 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 20, Time: 11:20:10:473 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 10, Time: 11:20:12:483 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 11, Time: 11:20:14:491 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 9, Time: 11:20:16:500 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 15, Time: 11:20:18:508 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 31, Time: 11:20:20:517 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 16, Time: 11:20:22:527 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 32, Time: 11:20:24:537 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 26, Time: 11:20:26:545 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 4, Time: 11:20:28:555 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 17, Time: 11:20:30:563 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 22, Time: 11:20:32:575 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 23, Time: 11:20:34:584 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 6, Time: 11:20:36:593 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 1, Time: 11:20:38:603 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 25, Time: 11:20:40:612 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 14, Time: 11:20:42:622 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 13, Time: 11:20:44:631 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 8, Time: 11:20:46:640 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 19, Time: 11:20:48:650 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 18, Time: 11:20:50:659 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 28, Time: 11:20:52:669 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 27, Time: 11:20:54:680 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 30, Time: 11:20:56:690 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 12, Time: 11:20:58:700 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 3, Time: 11:21:00:710 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 2, Time: 11:21:02:720 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 5, Time: 11:21:04:730 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 29, Time: 11:21:06:739 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 24, Time: 11:21:08:750 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 21, Time: 11:21:10:758 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 7, Time: 11:21:12:767 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 20, Time: 11:21:14:775 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 10, Time: 11:21:16:786 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 11, Time: 11:21:18:795 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 9, Time: 11:21:20:803 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 15, Time: 11:21:22:812 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 31, Time: 11:21:24:823 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 16, Time: 11:21:26:834 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 32, Time: 11:21:28:842 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 26, Time: 11:21:30:850 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 4, Time: 11:21:32:860 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 17, Time: 11:21:34:869 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 22, Time: 11:21:36:877 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 23, Time: 11:21:38:886 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 6, Time: 11:21:40:897 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 1, Time: 11:21:42:909 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 25, Time: 11:21:44:919 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 14, Time: 11:21:46:928 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 13, Time: 11:21:48:939 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 8, Time: 11:21:50:950 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 19, Time: 11:21:52:958 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 18, Time: 11:21:54:967 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 28, Time: 11:21:56:976 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 27, Time: 11:21:58:987 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 30, Time: 11:22:00:996 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 12, Time: 11:22:03:006 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 3, Time: 11:22:05:015 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 2, Time: 11:22:07:023 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 5, Time: 11:22:09:032 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 29, Time: 11:22:11:041 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 24, Time: 11:22:13:051 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 21, Time: 11:22:15:061 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 7, Time: 11:22:17:069 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 20, Time: 11:22:19:078 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 10, Time: 11:22:21:086 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 11, Time: 11:22:23:094 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 9, Time: 11:22:25:102 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 15, Time: 11:22:27:110 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 31, Time: 11:22:29:119 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 16, Time: 11:22:31:129 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 32, Time: 11:22:33:136 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 26, Time: 11:22:35:145 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 4, Time: 11:22:37:153 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 17, Time: 11:22:39:163 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 22, Time: 11:22:41:174 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 23, Time: 11:22:43:183 19/07/2023, sent GRANT message,32,10,2,1
Thread ID: 6, Time: 11:22:45:192 19/07/2023, sent GRANT message,32,10,2,1
