Thread ID, Time, Message Type,n,r,k,case
Thread ID: 6, Time: 11:39:50:204 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 9, Time: 11:39:50:218 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 11:39:50:230 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 29, Time: 11:39:50:241 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 17, Time: 11:39:50:255 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 3, Time: 11:39:50:270 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 11, Time: 11:39:50:285 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 11:39:50:296 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 14, Time: 11:39:50:308 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 26, Time: 11:39:50:321 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 15, Time: 11:39:50:334 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 21, Time: 11:39:50:343 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 27, Time: 11:39:50:356 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 19, Time: 11:39:50:368 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 23, Time: 11:39:50:378 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 10, Time: 11:39:50:389 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 31, Time: 11:39:50:402 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 5, Time: 11:39:50:411 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 25, Time: 11:39:50:422 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 16, Time: 11:39:50:434 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 7, Time: 11:39:50:444 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 18, Time: 11:39:50:457 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 12, Time: 11:39:50:473 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 30, Time: 11:39:50:489 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 4, Time: 11:39:50:505 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 24, Time: 11:39:50:523 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 20, Time: 11:39:50:539 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 22, Time: 11:39:50:554 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 32, Time: 11:39:50:567 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 28, Time: 11:39:50:584 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 8, Time: 11:39:50:593 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 13, Time: 11:39:50:608 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 9, Time: 11:39:50:622 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 11:39:50:634 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 29, Time: 11:39:50:644 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 6, Time: 11:39:50:656 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 17, Time: 11:39:50:671 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 3, Time: 11:39:50:685 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 11, Time: 11:39:50:701 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 11:39:50:711 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 14, Time: 11:39:50:723 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 26, Time: 11:39:50:737 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 15, Time: 11:39:50:752 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 21, Time: 11:39:50:765 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 27, Time: 11:39:50:775 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 19, Time: 11:39:50:789 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 23, Time: 11:39:50:804 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 10, Time: 11:39:50:815 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 31, Time: 11:39:50:826 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 5, Time: 11:39:50:840 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 25, Time: 11:39:50:854 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 16, Time: 11:39:50:867 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 7, Time: 11:39:50:877 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 18, Time: 11:39:50:890 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 12, Time: 11:39:50:904 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 30, Time: 11:39:50:913 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 4, Time: 11:39:50:924 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 24, Time: 11:39:50:937 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 20, Time: 11:39:50:949 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 22, Time: 11:39:50:959 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 32, Time: 11:39:50:974 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 28, Time: 11:39:50:988 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 8, Time: 11:39:51:006 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 13, Time: 11:39:51:020 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 9, Time: 11:39:51:036 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 1, Time: 11:39:51:052 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 29, Time: 11:39:51:069 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 6, Time: 11:39:51:080 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 17, Time: 11:39:51:091 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 3, Time: 11:39:51:105 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 11, Time: 11:39:51:118 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 2, Time: 11:39:51:128 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 14, Time: 11:39:51:140 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 26, Time: 11:39:51:152 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 15, Time: 11:39:51:167 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 21, Time: 11:39:51:176 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 27, Time: 11:39:51:190 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 19, Time: 11:39:51:205 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 23, Time: 11:39:51:227 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 10, Time: 11:39:51:250 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 31, Time: 11:39:51:271 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 5, Time: 11:39:51:290 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 25, Time: 11:39:51:314 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 16, Time: 11:39:51:337 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 7, Time: 11:39:51:354 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 18, Time: 11:39:51:368 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 12, Time: 11:39:51:389 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 30, Time: 11:39:51:419 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 4, Time: 11:39:51:452 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 24, Time: 11:39:51:486 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 20, Time: 11:39:51:538 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 22, Time: 11:39:51:559 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 32, Time: 11:39:51:598 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 28, Time: 11:39:51:610 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 8, Time: 11:39:51:630 19/07/2023, sent GRANT message,32,3,0,3
Thread ID: 13, Time: 11:39:51:643 19/07/2023, sent GRANT message,32,3,0,3
