Thread ID, Time, Message Type,n,r,k,case
Thread ID: 7, Time: 11:39:48:417 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 8, Time: 11:39:48:431 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 3, Time: 11:39:48:439 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 1, Time: 11:39:48:451 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 5, Time: 11:39:48:466 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 4, Time: 11:39:48:480 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 6, Time: 11:39:48:496 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 2, Time: 11:39:48:509 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 1, Time: 11:39:48:525 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 7, Time: 11:39:48:541 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 5, Time: 11:39:48:557 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 8, Time: 11:39:48:573 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 4, Time: 11:39:48:587 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 6, Time: 11:39:48:601 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 3, Time: 11:39:48:609 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 2, Time: 11:39:48:623 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 1, Time: 11:39:48:638 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 7, Time: 11:39:48:653 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 5, Time: 11:39:48:668 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 8, Time: 11:39:48:679 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 4, Time: 11:39:48:691 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 6, Time: 11:39:48:704 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 3, Time: 11:39:48:716 19/07/2023, sent GRANT message,8,3,0,3
Thread ID: 2, Time: 11:39:48:727 19/07/2023, sent GRANT message,8,3,0,3
