Thread ID, Time, Message Type,n,r,k,case
Thread ID: 2, Time: 11:29:19:579 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 1, Time: 11:29:20:588 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 3, Time: 11:29:21:597 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 4, Time: 11:29:22:605 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 2, Time: 11:29:23:618 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 1, Time: 11:29:24:627 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 3, Time: 11:29:25:634 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 4, Time: 11:29:26:644 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 2, Time: 11:29:27:651 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 1, Time: 11:29:28:662 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 3, Time: 11:29:29:673 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 4, Time: 11:29:30:680 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 2, Time: 11:29:31:692 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 1, Time: 11:29:32:700 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 3, Time: 11:29:33:710 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 4, Time: 11:29:34:719 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 2, Time: 11:29:35:727 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 1, Time: 11:29:36:735 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 3, Time: 11:29:37:745 19/07/2023, sent GRANT message,4,5,1,2
Thread ID: 4, Time: 11:29:38:757 19/07/2023, sent GRANT message,4,5,1,2
