Thread ID, Time, Message Type,n,r,k,case
Thread ID: 2, Time: 11:29:09:300 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 1, Time: 11:29:10:311 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 2, Time: 11:29:11:321 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 1, Time: 11:29:12:330 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 2, Time: 11:29:13:338 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 1, Time: 11:29:14:347 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 2, Time: 11:29:15:358 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 1, Time: 11:29:16:368 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 2, Time: 11:29:17:378 19/07/2023, sent GRANT message,2,5,1,2
Thread ID: 1, Time: 11:29:18:385 19/07/2023, sent GRANT message,2,5,1,2
