Thread ID, Time, Message Type,n,r,k,case
Thread ID: 11, Time: 11:31:41:861 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 18, Time: 11:31:42:875 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 26, Time: 11:31:43:887 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 19, Time: 11:31:44:900 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 6, Time: 11:31:45:910 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 7, Time: 11:31:46:919 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 25, Time: 11:31:47:927 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 1, Time: 11:31:48:937 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 16, Time: 11:31:49:946 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 2, Time: 11:31:50:956 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 8, Time: 11:31:51:967 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 23, Time: 11:31:52:985 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 3, Time: 11:31:53:995 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 28, Time: 11:31:55:005 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 5, Time: 11:31:56:015 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 32, Time: 11:31:57:023 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 24, Time: 11:31:58:031 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 22, Time: 11:31:59:040 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 10, Time: 11:32:00:051 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 12, Time: 11:32:01:065 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 9, Time: 11:32:02:075 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 13, Time: 11:32:03:088 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 29, Time: 11:32:04:097 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 27, Time: 11:32:05:106 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 17, Time: 11:32:06:113 19/07/2023, sent GRANT message,32,5,1,2
Thread ID: 15, Time: 11:32:07:123 19/07/2023, sent GRANT message,32,5,1,2
