Thread ID, Time, Message Type,n,r,k,case
Thread ID: 2, Time: 11:09:01:749 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 3, Time: 11:09:03:759 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 4, Time: 11:09:05:769 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 1, Time: 11:09:07:780 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 2, Time: 11:09:09:788 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 3, Time: 11:09:11:798 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 4, Time: 11:09:13:806 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 1, Time: 11:09:15:815 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 2, Time: 11:09:17:822 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 3, Time: 11:09:19:832 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 4, Time: 11:09:21:843 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 1, Time: 11:09:23:853 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 2, Time: 11:09:25:869 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 3, Time: 11:09:27:881 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 4, Time: 11:09:29:890 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 1, Time: 11:09:31:900 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 2, Time: 11:09:33:909 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 3, Time: 11:09:35:919 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 4, Time: 11:09:37:928 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 1, Time: 11:09:39:939 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 2, Time: 11:09:41:951 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 3, Time: 11:09:43:965 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 4, Time: 11:09:45:973 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 1, Time: 11:09:47:984 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 2, Time: 11:09:49:995 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 3, Time: 11:09:52:005 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 4, Time: 11:09:54:017 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 1, Time: 11:09:56:028 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 2, Time: 11:09:58:037 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 3, Time: 11:10:00:048 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 4, Time: 11:10:02:060 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 1, Time: 11:10:04:069 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 2, Time: 11:10:06:080 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 3, Time: 11:10:08:090 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 4, Time: 11:10:10:100 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 1, Time: 11:10:12:110 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 2, Time: 11:10:14:124 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 3, Time: 11:10:16:134 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 4, Time: 11:10:18:145 19/07/2023, sent GRANT message,4,10,2,1
Thread ID: 1, Time: 11:10:20:153 19/07/2023, sent GRANT message,4,10,2,1
